ticker,fiscal_quarter_end,earnings_date_actual,decision_date_T,source,provenance_caveat
OXY,2019-06-30,2019-07-31,2019-07-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2019-09-30,2019-11-04,2019-10-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2019-12-31,2020-02-27,2020-02-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2020-03-31,2020-05-05,2020-04-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2020-06-30,2020-08-10,2020-07-27,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2020-09-30,2020-11-09,2020-10-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2020-12-31,2021-02-22,2021-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2021-03-31,2021-05-10,2021-04-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2021-06-30,2021-08-03,2021-07-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2021-09-30,2021-11-04,2021-10-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2021-12-31,2022-02-23,2022-02-09,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2022-03-31,2022-05-10,2022-04-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2022-06-30,2022-08-02,2022-07-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2022-09-30,2022-11-08,2022-10-25,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2022-12-31,2023-02-27,2023-02-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2023-03-31,2023-05-09,2023-04-25,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2023-06-30,2023-08-02,2023-07-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2023-09-30,2023-11-07,2023-10-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2023-12-31,2024-02-14,2024-01-31,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2024-03-31,2024-05-07,2024-04-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2024-06-30,2024-08-07,2024-07-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2024-09-30,2024-11-12,2024-10-29,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2024-12-31,2025-02-18,2025-02-04,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2025-03-31,2025-05-07,2025-04-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2025-06-30,2025-08-06,2025-07-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2025-09-30,2025-11-10,2025-10-27,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2025-12-31,2026-02-18,2026-02-04,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2022-09-30,2022-11-08,2022-10-25,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2022-12-31,2023-02-22,2023-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2023-03-31,2023-05-08,2023-04-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2023-06-30,2023-08-02,2023-07-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2023-09-30,2023-11-07,2023-10-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2023-12-31,2024-02-27,2024-02-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
