ticker,date,adj_close,ret
CTRA,2025-06-25,25.4304,-0.027602
CTRA,2025-06-26,25.3133,-0.004603
CTRA,2025-06-27,24.9817,-0.013102
CTRA,2025-06-30,24.7573,-0.008981
CTRA,2025-07-01,24.4744,-0.011426
CTRA,2025-07-02,24.4159,-0.002391
CTRA,2025-07-03,24.6012,0.007591
CTRA,2025-07-07,24.2110,-0.015860
CTRA,2025-07-08,24.5622,0.014504
CTRA,2025-07-09,24.5232,-0.001589
CTRA,2025-07-10,24.4842,-0.001591
CTRA,2025-07-11,24.6598,0.007171
CTRA,2025-07-14,24.8256,0.006725
CTRA,2025-07-15,24.0355,-0.031827
CTRA,2025-07-16,23.5965,-0.018263
CTRA,2025-07-17,23.8501,0.010748
CTRA,2025-07-18,23.7916,-0.002454
CTRA,2025-07-21,22.5235,-0.053301
CTRA,2025-07-22,22.9917,0.020788
CTRA,2025-07-23,22.8454,-0.006364
CTRA,2025-07-24,23.1771,0.014517
CTRA,2025-07-25,23.0502,-0.005471
CTRA,2025-07-28,23.2258,0.007617
CTRA,2025-07-29,23.6258,0.017220
CTRA,2025-07-30,23.6940,0.002890
CTRA,2025-07-31,23.7916,0.004117
CTRA,2025-08-01,23.1185,-0.028290
CTRA,2025-08-04,23.3429,0.009705
CTRA,2025-08-05,23.7233,0.016298
CTRA,2025-08-06,23.6550,-0.002878
CTRA,2025-08-07,23.1868,-0.019794
CTRA,2025-08-08,23.4307,0.010517
CTRA,2025-08-11,23.3721,-0.002498
CTRA,2025-08-12,23.3917,0.000835
CTRA,2025-08-13,23.6258,0.010008
CTRA,2025-08-14,23.6947,0.002917
CTRA,2025-08-15,23.6553,-0.001662
CTRA,2025-08-18,22.8776,-0.032876
CTRA,2025-08-19,22.7398,-0.006024
CTRA,2025-08-20,22.8678,0.005628
CTRA,2025-08-21,23.0745,0.009040
CTRA,2025-08-22,23.4387,0.015785
CTRA,2025-08-25,23.4880,0.002100
CTRA,2025-08-26,23.5273,0.001676
CTRA,2025-08-27,23.7636,0.010042
CTRA,2025-08-28,23.9998,0.009942
CTRA,2025-08-29,24.0589,0.002461
CTRA,2025-09-02,24.3542,0.012275
CTRA,2025-09-03,23.6947,-0.027082
CTRA,2025-09-04,24.0097,0.013295
CTRA,2025-09-05,23.6061,-0.016810
CTRA,2025-09-08,23.4781,-0.005421
CTRA,2025-09-09,23.4781,0.000000
CTRA,2025-09-10,23.9900,0.021803
CTRA,2025-09-11,23.9900,0.000000
CTRA,2025-09-12,23.9802,-0.000410
CTRA,2025-09-15,23.8030,-0.007389
CTRA,2025-09-16,24.1672,0.015302
CTRA,2025-09-17,23.9998,-0.006925
CTRA,2025-09-18,23.7144,-0.011895
CTRA,2025-09-19,22.9170,-0.033624
CTRA,2025-09-22,22.7398,-0.007732
CTRA,2025-09-23,23.1040,0.016017
CTRA,2025-09-24,23.3797,0.011930
CTRA,2025-09-25,23.3304,-0.002105
CTRA,2025-09-26,23.4584,0.005485
CTRA,2025-09-29,23.2714,-0.007973
CTRA,2025-09-30,23.2812,0.000423
CTRA,2025-10-01,23.5864,0.013108
CTRA,2025-10-02,22.7890,-0.033806
CTRA,2025-10-03,22.9367,0.006480
